z,gamma
-31.10087235738602,0.9554434325623746
-31.09087235738602,0.9554438041930364
-31.080872357386017,0.9554441768332645
-31.070872357386015,0.9554445504855521
-31.060872357386014,0.9554449251523973
-31.050872357386012,0.9554453008363039
-31.04087235738601,0.9554456775397809
-31.03087235738601,0.9554460552653431
-31.020872357386008,0.9554464340155103
-31.010872357386006,0.9554468137928079
-31.000872357386005,0.9554471945997671
-30.990872357386003,0.9554475764389242
-30.980872357386,0.9554479593128208
-30.970872357386,0.9554483432240045
-30.960872357386,0.955448728175028
-30.950872357385997,0.9554491141684499
-30.940872357385995,0.9554495012068338
-30.930872357385994,0.9554498892927494
-30.920872357385992,0.9554502784287714
-30.91087235738599,0.9554506686174803
-30.90087235738599,0.9554510598614623
-30.890872357385987,0.955451452163309
-30.880872357385986,0.9554518455256173
-30.870872357385984,0.9554522399509904
-30.860872357385983,0.9554526354420365
-30.85087235738598,0.9554530320013694
-30.84087235738598,0.955453429631609
-30.830872357385978,0.9554538283353803
-30.820872357385976,0.9554542281153142
-30.810872357385975,0.9554546289740472
-30.800872357385973,0.9554550309142215
-30.79087235738597,0.9554554339384848
-30.78087235738597,0.9554558380494906
-30.77087235738597,0.9554562432498981
-30.760872357385967,0.9554566495423722
-30.750872357385965,0.9554570569295835
-30.740872357385964,0.9554574654142083
-30.730872357385962,0.9554578749989282
-30.72087235738596,0.9554582856864314
-30.71087235738596,0.9554586974794114
-30.700872357385958,0.955459110380567
-30.690872357385956,0.9554595243926034
-30.680872357385955,0.9554599395182315
-30.670872357385953,0.9554603557601676
-30.66087235738595,0.9554607731211341
-30.65087235738595,0.9554611916038593
-30.64087235738595,0.9554616112110769
-30.630872357385947,0.9554620319455268
-30.620872357385945,0.9554624538099545
-30.610872357385944,0.9554628768071115
-30.600872357385942,0.9554633009397552
-30.59087235738594,0.9554637262106485
-30.58087235738594,0.9554641526225605
-30.570872357385937,0.9554645801782661
-30.560872357385936,0.9554650088805463
-30.550872357385934,0.9554654387321874
-30.540872357385933,0.9554658697359822
-30.53087235738593,0.9554663018947294
-30.52087235738593,0.955466735211233
-30.510872357385928,0.9554671696883038
-30.500872357385926,0.955467605328758
-30.490872357385925,0.9554680421354178
-30.480872357385923,0.9554684801111115
-30.47087235738592,0.9554689192586736
-30.46087235738592,0.955469359580944
-30.45087235738592,0.9554698010807692
-30.440872357385917,0.9554702437610013
-30.430872357385915,0.9554706876244986
-30.420872357385914,0.9554711326741255
-30.410872357385912,0.9554715789127523
-30.40087235738591,0.9554720263432552
-30.39087235738591,0.955472474968517
-30.380872357385908,0.955472924791426
-30.370872357385906,0.9554733758148769
-30.360872357385905,0.9554738280417704
-30.350872357385903,0.9554742814750132
